PaymentID,PaymentType,PaymentAmount,PaymentDate,CreditCardNumber,ExpirationDate,PaymentItem,LeaseID,PermitID,CustomerID
50000000,CC,5600,11/16/2018,4.39088E+15,6/2023,R,30000000,,4000
50000001,CC,3000,9/17/2017,4.39E+15,6/2024,R,30000001,,4001
50000002,CC,2100,11/18/2018,4.39E+15,6/2025,R,30000002,,4002
50000003,CC,2500,2/17/2018,4.39073E+15,6/2026,R,30000003,,4003
50000004,C,2100,11/30/2018,,,R,30000004,,4004
50000005,C,5600,12/15/2018,,,R,30000005,,4005
50000006,C,5600,11/2/2018,,,R,30000006,,4006
50000007,DC,3200,11/7/2018,,,R,30000007,,4007
50000008,DC,2100,11/18/2018,,,R,30000008,,4008
50000009,DC,2500,1/17/2018,,,R,30000009,,4009
50000010,DC,2100,10/30/2018,,,R,30000010,,4010
50000011,DC,5600,11/15/2018,,,R,30000011,,4011
50000012,DC,5600,11/25/2018,,,R,30000012,,4012
50000013,CC,3200,10/17/2018,4.39088E+15,6/2023,R,30000013,,4013
50000014,CC,2000,11/18/2018,4.39083E+15,6/2024,R,30000014,,4014
50000015,CC,2500,2/17/2018,4.39088E+15,6/2025,R,30000015,,4015
50000016,CC,2100,11/30/2018,4.39088E+15,6/2026,R,30000016,,4016
50000017,C,2100,1/15/2018,,,R,30000017,,4017
50000018,C,5600,11/16/2018,,,R,30000018,,4018
50000019,C,3200,10/19/2018,,,R,30000019,,4019
50000020,DC,2100,12/15/2018,,,R,30000020,,4020
50000021,DC,5600,12/16/2018,,,R,30000021,,4021
50000022,DC,3000,12/17/2017,,,R,30000022,,4022
50000023,DC,50,11/16/2018,,,P,,10000000,4000
50000024,DC,100,9/17/2017,,,P,,10000001,4001
50000025,DC,200,11/18/2018,,,P,,10000002,4002
50000026,CC,50,2/17/2018,4.39088E+15,6/2023,P,,10000003,4003
50000027,CC,100,11/30/2018,4.39778E+15,6/2024,P,,10000004,4004
50000028,CC,200,12/15/2018,4.39088E+15,6/2025,P,,10000005,4005
50000029,CC,50,11/2/2018,4.39088E+15,6/2026,P,,10000006,4006
50000030,C,100,11/7/2018,,,P,,10000007,4007
50000031,C,100,11/18/2018,,,P,,10000008,4008
50000032,C,50,1/17/2018,,,P,,10000009,4009
50000033,DC,100,10/30/2018,,,P,,10000010,4010
50000034,DC,200,11/15/2018,,,P,,10000011,4011
50000035,DC,50,11/25/2018,,,P,,10000012,4012
50000036,DC,100,10/17/2018,,,P,,10000013,4013
50000037,DC,200,11/18/2018,,,P,,10000014,4014
50000038,DC,30,2/17/2018,,,P,,10000015,4015
50000039,CC,100,11/30/2018,4.39088E+15,6/2023,P,,10000016,4016
50000040,CC,200,1/15/2018,4.39088E+15,6/2024,P,,10000017,4017
50000041,CC,50,11/16/2018,4.39088E+15,6/2025,P,,10000018,4018
50000042,CC,100,10/19/2018,4.39088E+15,6/2026,P,,10000019,4019
50000043,C,200,12/15/2018,,,P,,10000020,4020
50000044,C,50,12/16/2018,,,P,,10000000,4000
50000045,C,100,12/17/2017,,,P,,10000001,4001
